Compañia,Linea de producto,Año,Ingresos soles
Claro,Público,2013,10690680
Claro,Larga distancia,2013,12285877
Claro,Otros,2013,85336817
Claro,Linea fija,2013,107044890
Claro,CableTV,2013,119579263
Claro,Data,2013,129783150
Claro,Internet,2013,171809964
Claro,Interconexión,2013,451196666
Claro,Equipos,2013,602707188
Claro,Móvil,2013,3231865503
Otros,Público,2013,573
Otros,Equipos,2013,37934
Otros,Interconexión,2013,1126238
Otros,Otros,2013,3259053
Otros,Data,2013,5866152
Otros,Linea fija,2013,18446334
Otros,Larga distancia,2013,43504830
Otros,Internet,2013,47606796
Otros,Equipos,2013,64119
Otros,Data,2013,14667271
Otros,Data,2013,12992458
Otros,CableTV,2013,23462078
Otros,Equipos,2013,46589
Otros,Internet,2013,14735641
Otros,Linea fija,2013,26634419
Otros,Otros,2013,34639637
Otros,Larga distancia,2013,52958007
Otros,Equipos,2013,340818
Otros,Interconexión,2013,839444
Otros,Linea fija,2013,1671567
Otros,Larga distancia,2013,8110516
DirectTV,Equipos,2013,441324
DirectTV,CableTV,2013,190055140
Entel,Público,2013,185
Entel,Linea fija,2013,460362
Entel,Internet,2013,14218785
Entel,Interconexión,2013,51597006
Entel,Otros,2013,63866079
Entel,Equipos,2013,86143176
Entel,Móvil,2013,608200298
Otros,Interconexión,2013,18699
Otros,Larga distancia,2013,4021824
Otros,Linea fija,2013,5138986
Otros,Internet,2013,5232000
Otros,Otros,2013,7111000
Otros,Data,2013,9291000
Otros,Público,2013,13745490
Otros,Equipos,2013,15143000
Otros,Otros,2013,84611
Otros,Larga distancia,2013,1246746
Otros,Linea fija,2013,1825762
Otros,Larga distancia,2013,24345881
Otros,Equipos,2013,4255
Otros,Interconexión,2013,36723
Otros,Data,2013,188218
Otros,Linea fija,2013,438673
Otros,Otros,2013,720958
Otros,Larga distancia,2013,1693291
Otros,Otros,2013,31445641
Otros,Internet,2013,335652
Otros,CableTV,2013,831840
Otros,Otros,2013,5803204
Otros,Internet,2013,17859617
Otros,Equipos,2013,1536867
Otros,Móvil,2013,9706606
Movistar,Larga distancia,2013,111783000
Movistar,Otros,2013,160052000
Movistar,Interconexión,2013,302327000
Movistar,Público,2013,412739000
Movistar,Data,2013,573606000
Movistar,Equipos,2013,574764000
Movistar,CableTV,2013,679530000
Movistar,Linea fija,2013,832602000
Movistar,Internet,2013,1306055000
Movistar,Móvil,2013,3876234000
Otros,Linea fija,2013,937175
Otros,CableTV,2013,1666431
Otros,Data,2013,87518
Otros,Equipos,2013,358645
Otros,Internet,2013,4057876
Otros,Otros,2013,36412
Otros,Internet,2013,405169
Otros,Data,2013,485140
Otros,Público,2013,58801
Otros,Internet,2013,334447
Otros,Linea fija,2013,1270146
Claro,Público,2014,8848454
Claro,Larga distancia,2014,12536394
Claro,Otros,2014,80208287
Claro,Linea fija,2014,119142207
Claro,Data,2014,146716289
Claro,CableTV,2014,150536141
Claro,Internet,2014,241389343
Claro,Interconexión,2014,466934200
Claro,Equipos,2014,692638499
Claro,Móvil,2014,3516893188
Otros,Público,2014,1013
Otros,Equipos,2014,86464
Otros,Interconexión,2014,1439601
Otros,Otros,2014,5645962
Otros,Data,2014,8264989
Otros,Linea fija,2014,20501527
Otros,Larga distancia,2014,43911509
Otros,Internet,2014,61283935
Otros,Equipos,2014,1901
Otros,Data,2014,21114335
Otros,Data,2014,15199614
Otros,CableTV,2014,24108168
Otros,Internet,2014,19028789
Otros,Linea fija,2014,28247205
